episode,stage,num_agents,added_agents,skipped_agents,reward,speed_loss,mean_speed,min_speed,speed_05,speed_10,stopped_ratio,evacuation_ratio,throughput_agents_per_second,mean_density,max_density,classic_mean_density,classic_max_density,remaining_agents,iterations,elapsed_time,actor_loss,critic_1_loss,critic_2_loss,pair_1_action,pair_2_action,pair_3_action,pair_4_action,pair_5_action,pair_6_action,pair_7_action
22,stage_4_heavy,733.0,728.6,4.4,-0.22061957335814125,0.40959758927995116,0.8265633750080681,6.581333335025199e-05,0.08272563039271827,0.2237422765517735,0.094634229410268,0.1633807991344613,4.632,0.18224495479867484,0.19376108909625067,0.18224495479867484,0.19376108909625067,601.6,500.0,25.0,-0.7274715900421143,0.0003381366841495037,0.00026415710453875363,0.5061951,0.20967758,0.24483386,0.30331856,0.30642873,0.55537164,0.5054425
23,stage_4_heavy,770.1,765.4,4.7,-0.2171200200766318,0.40891984310792545,0.8275122196489043,0.00011313902914885361,0.10280671210789794,0.2483108948289519,0.0892534713891026,0.16350322846088905,4.895999999999999,0.19170011034409565,0.20394340448366166,0.19170011034409565,0.20394340448366166,632.7,500.0,25.0,-0.7059519290924072,0.00034212321043014526,0.00024297498748637736,0.35287178,0.9410853,0.51756495,0.6626367,0.04910052,0.888965,0.1185146
24,stage_4_heavy,731.4,723.8,7.6,-0.23630947116453763,0.42607127966797903,0.8035002084648294,0.00012274257751207328,0.07909773527052691,0.2025218968888996,0.10980159882890998,0.1665580029719095,4.636000000000001,0.18056833196300034,0.1924916757720907,0.18056833196300034,0.1924916757720907,596.8,500.0,25.0,-0.7217233180999756,0.0003326956939417869,0.0002591585216578096,0.29774305,0.5345871,0.44349137,0.43385848,0.7848312,0.4239016,0.9328556
25,stage_4_heavy,730.6,722.9,7.7,-0.2263398505678536,0.4110180080204728,0.8245747887713382,0.0001489129413843945,0.09134766348893475,0.23344866024434835,0.10322107893277414,0.16806268304028257,4.752,0.1805620991643547,0.19254569336035282,0.1805620991643547,0.19254569336035282,594.1,500.0,25.0,-0.726455807685852,0.0002734601148404181,0.00025588960852473974,0.81402236,0.013618678,0.027187735,0.86558205,0.21419242,0.23440701,0.046438932
26,stage_4_heavy,740.7,733.5,7.2,-0.23033882669488862,0.4220777951842553,0.8090910867420424,8.830322147523324e-05,0.06950024600251828,0.20803302812085311,0.10251284770197748,0.15630430887773794,4.452,0.18313105100612856,0.19470639689083788,0.18313105100612856,0.19470639689083788,609.6,500.0,25.0,-0.7266191244125366,0.00024551767273806036,0.00020746274094562978,0.906362,0.54581344,0.594744,0.763525,0.8603064,0.51586884,0.026573032
27,stage_4_heavy,770.8,765.3,5.5,-0.21820218327900856,0.4066770457459602,0.8306521359556557,0.0001586937074755629,0.08762775124178872,0.23117358787705924,0.09255227496770743,0.1585794469591402,4.764,0.19131263802829235,0.20337621980690934,0.19131263802829235,0.20337621980690934,633.9,500.0,25.0,-0.7214259505271912,0.00028451060643419623,0.00021198764443397522,0.8377086,0.44235164,0.8133179,0.5698998,0.17038196,0.015010893,0.884796
28,stage_4_heavy,721.7,714.7,7.0,-0.23661227474766325,0.4260836549566305,0.8034828830607174,0.00011835647777357799,0.07204695509027641,0.1922439665706347,0.11029802127501845,0.16498348128219364,4.632,0.17852605160678223,0.19019592827095028,0.17852605160678223,0.19019592827095028,588.4,500.0,25.0,-0.7155978083610535,0.00022926695237401873,0.00021520805603358895,0.12247601,0.48435923,0.25622255,0.55430955,0.2363733,0.34141612,0.5667282
29,stage_4_heavy,739.7,733.0,6.7,-0.22826477515999696,0.4114473888457756,0.8239736556159141,0.00014663678854603574,0.06930120443066447,0.19603282990174703,0.10614303270281122,0.1651553347281009,4.712000000000001,0.18290459265533734,0.1947874232732311,0.18290459265533734,0.1947874232732311,603.4,500.0,25.0,-0.7144802808761597,0.00021923749591223896,0.0002208549703937024,0.839051,0.8397428,0.83159757,0.053511083,0.2606786,0.31743103,0.844987
30,stage_4_heavy,756.5,748.6,7.9,-0.214585920535128,0.40169913275964414,0.837621214136498,0.00011888542359945301,0.09792701512363786,0.2800875809749808,0.08984377905211723,0.16541075480998896,4.808,0.18698188176935374,0.19910883033420126,0.18698188176935374,0.19910883033420126,617.0,500.0,25.0,-0.7218705415725708,0.0002193141117459163,0.00019307424372527748,0.10362151,0.5049532,0.96861154,0.59982497,0.27735454,0.9447205,0.621495
31,stage_4_heavy,778.3,770.8,7.5,-0.2298765526149714,0.4194340312379583,0.8127923562668584,6.463422557437074e-05,0.07478225200778545,0.21799356753017438,0.10350490019964675,0.16692435163949787,5.032000000000001,0.1920948542583189,0.20478067710172465,0.1920948542583189,0.20478067710172465,632.4,500.0,25.0,-0.7199683785438538,0.0002948078326880932,0.0002297406899742782,0.78030944,0.8554035,0.8239738,0.82451737,0.87106466,0.47956213,0.4139537
32,stage_4_heavy,727.7,720.3,7.4,-0.2442922041278528,0.4347289772307853,0.7913794318769005,0.00010465823390824346,0.0730820534896652,0.19915977885073338,0.11733435539256436,0.16284869408591401,4.612,0.1799066165067893,0.19149235038924134,0.1799066165067893,0.19149235038924134,593.7,500.0,25.0,-0.7187826037406921,0.0001954375911736861,0.00019689209875650704,0.3089954,0.8999674,0.9045647,0.32913774,0.6209588,0.9115246,0.5125685
33,stage_4_heavy,784.4,776.0,8.4,-0.2266278060977854,0.4155675220392251,0.8182054691450847,4.804407648756559e-05,0.07947893988203217,0.21095292351060868,0.10066799547015888,0.16348756209469323,4.936000000000001,0.19404156503530406,0.20648223113198166,0.19404156503530406,0.20648223113198166,641.1,500.0,25.0,-0.7073706388473511,0.00020626574405469,0.00019360515580046922,0.33090773,0.036817208,0.9653461,0.53781104,0.7755952,0.9987052,0.671065
34,stage_4_heavy,780.0,772.8,7.2,-0.23566055051156284,0.4338570987922039,0.7926000616909145,0.0001448292489149713,0.0729638749678114,0.20918563983555974,0.1035295183244688,0.15641141470519085,4.728,0.19334037518767064,0.20545589695500124,0.19334037518767064,0.20545589695500124,642.5,500.0,25.0,-0.714662492275238,0.0002053141943179071,0.0001575642527313903,0.7945603,0.467923,0.4912988,0.7241357,0.10700017,0.4073115,0.541398
35,stage_4_heavy,698.5,692.2,6.3,-0.24763921630558797,0.43646980923275425,0.7889422670741439,6.411466963118472e-05,0.06568015563494162,0.18538838009330613,0.1217521543541437,0.1618420378810005,4.372,0.17266825967966423,0.18392988803254345,0.17266825967966423,0.18392988803254345,571.7,500.0,25.0,-0.7391829490661621,0.0002012275072047487,0.00015930640802253038,0.65777624,0.4436944,0.75581586,0.8953986,0.09940788,0.08352798,0.8086883
36,stage_4_heavy,794.1,783.9,10.2,-0.2575650695924279,0.4532070746691086,0.7655100954632479,8.161489281675944e-05,0.05330339061880581,0.15149854860157488,0.12713706620797413,0.16379346195056294,5.016,0.1955093891163499,0.2081027587798455,0.1955093891163499,0.2081027587798455,645.1,500.0,25.0,-0.7284849882125854,0.0002650603128131479,0.00011547107715159655,0.25808433,0.030292546,0.54986435,0.7257531,0.5472377,0.9784839,0.045710515
37,stage_4_heavy,755.3,748.5,6.8,-0.23739866199779408,0.4284688478449591,0.8001436130170572,8.63592699338045e-05,0.061691522262456146,0.17917504257338734,0.11001853809968412,0.16257127111366315,4.772,0.18694240737793139,0.19891976877528383,0.18694240737793139,0.19891976877528383,617.2,500.0,25.0,-0.7159713506698608,0.0002633588155731559,0.00017518569075036794,0.93118083,0.018781662,0.7229893,0.75922066,0.9003893,0.18633962,0.3211161
38,stage_4_heavy,757.6,751.4,6.2,-0.226283189542848,0.4174153557129358,0.8156185020018898,0.00012474382242674275,0.08475281833185518,0.22838907827104005,0.09886174542945604,0.16232287987396488,4.731999999999999,0.18823467429712534,0.20035123486423023,0.18823467429712534,0.20035123486423023,623.5,500.0,25.0,-0.7241020202636719,0.0001878176990430802,0.00013961712829768658,0.94376475,0.43448594,0.64432573,0.6690551,0.20935468,0.9602896,0.091322035
39,stage_4_heavy,781.7,776.5,5.2,-0.22132524311378274,0.4110484858772908,0.8245321197717927,0.00019659594646149635,0.08686583873330193,0.2270272389766823,0.09484308127144393,0.16117205552901953,4.9,0.194182841804605,0.2065362487202438,0.194182841804605,0.2065362487202438,642.2,500.0,25.0,-0.7170585989952087,0.00015096821880433708,0.00011951260239584371,0.89859945,0.8914386,0.18705422,0.30222493,0.32087907,0.3450625,0.22036666
