test_id,requested_agents,added_agents,skipped_agents,max_iterations,dt,every_nth_frame,simulation_seconds,elapsed_time,remaining_agents,iterations,initial_agents,min_agents,evacuated_agents,evacuation_ratio,remaining_ratio,throughput_agents_per_second,read_sqlite_seconds,trajectory_rows,trajectory_frames,trajectory_agents,density_compute_seconds,mean_density,max_density,last_density,individual_speed_compute_seconds,mean_individual_speed,max_individual_speed,min_individual_speed
1,50,50,0,500,0.05,10,2.6286871433258057,25.0,45,500,50,45,5,0.1,0.9,0.2,0.028519630432128906,2450,51,50,0.004628181457519531,0.012974812866883522,0.013504397065531828,0.012153957358978645,0.004980564117431641,1.2151452596242058,1.3879384139294213,0.8259101709828645
2,50,50,0,1000,0.05,10,3.0587313175201416,50.0,19,1000,50,19,31,0.62,0.38,0.62,0.01800370216369629,3785,101,50,0.0020024776458740234,0.010121612454066925,0.013504397065531828,0.005131670884902095,0.005000591278076172,1.1852442415118787,1.3885742549155302,0.9942428073712414
3,100,100,0,500,0.05,10,4.163877010345459,25.0,76,500,100,76,24,0.24,0.76,0.96,0.018877267837524414,4572,51,100,0.0031731128692626953,0.024212589562200588,0.027008794131063656,0.02052668353960838,0.003997325897216797,1.17012634165686,1.3982763128263218,0.8886707741333069
4,200,199,0,500,0.05,10,7.592228174209595,25.0,157,500,199,157,42,0.21105527638190955,0.7889447236180904,1.68,0.03227663040161133,9397,51,199,0.048851728439331055,0.049765027146981416,0.053747500320816675,0.042403806785769944,0.005598545074462891,1.166842910790814,1.3992009143761237,0.0
5,100,100,0,500,0.05,1,8.770596265792847,25.0,84,500,100,84,16,0.16,0.84,0.64,0.14639711380004883,46621,501,100,0.02100348472595215,0.02513327327713211,0.027008794131063656,0.022687387070093473,0.022197484970092773,1.1800108814503272,1.3999736915485244,0.0
