method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_closed,101,300,294,6,-6.578600406453105,-0.6751095132191778,0.6751095132191778,174,1500,75.0,0.4061433447098976,1.5866666666666667,0.3282029967406471,0.7655692880423949,0.6148029966703663,0.06158360440752658,0.07913576680401652,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,300,300,0,-0.35630867010868306,-0.10158893214576542,0.10158893214576542,16,1500,75.0,0.9464882943143813,3.7733333333333334,1.1036470154469122,0.21168070325220545,0.028194418074805393,0.04799391641315983,0.08075629445188033,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,300,297,3,-1.4868566223256798,-0.30367317076840783,0.30367317076840783,76,1500,75.0,0.7414965986394558,2.9066666666666667,0.8125613181852195,0.4195990584391289,0.2263892456545937,0.05189242261865677,0.07940585474532715,0.5163986086845398,0.570667564868927,0.028474226593971252,0.17152166366577148,0.685276985168457,0.8338968753814697,0.30696621537208557
rl_policy,101,300,297,3,-0.5127971770674682,-0.13798679077627257,0.13798679077627257,33,1500,75.0,0.8877551020408163,3.48,1.0439943762331734,0.2542897312620189,0.06045149711910834,0.048011685356667104,0.07940585474532715,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495408177375793,0.6088516712188721,0.6045918464660645
all_closed,101,500,489,11,-6.6018298206923705,-0.6761296613978025,0.6761296613978025,333,1500,75.0,0.3134020618556701,2.026666666666667,0.3141387951891458,0.7756151462934673,0.6098060048006926,0.10748078548682752,0.13099265153565873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,500,500,0,-0.4261983012301691,-0.11833745783174078,0.11833745783174078,59,1500,75.0,0.8815261044176707,5.8533333333333335,1.0512563874805456,0.24910258037103883,0.031160709472208746,0.08355312615992601,0.134503794772697,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,101,500,496,4,-1.7617548870601816,-0.33862210210688737,0.33862210210688737,149,1500,75.0,0.6965376782077393,4.56,0.747420779025577,0.4661280149817306,0.2536181601903251,0.08908282137939115,0.13261317918352256,0.5163986086845398,0.570667564868927,0.028474226593971252,0.17152166366577148,0.685276985168457,0.8338968753814697,0.30696621537208557
rl_policy,101,500,499,1,-0.5441095798120434,-0.14481580682169742,0.14481580682169742,76,1500,75.0,0.845841784989858,5.56,0.9995962890272847,0.2860026506947966,0.05069124423963134,0.08454463320763216,0.13315335506614384,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388292908668518,0.5335893630981445,0.6032052040100098,0.5847250819206238
all_closed,101,700,684,16,-7.232586499466898,-0.7027000807615924,0.7027000807615924,466,1500,75.0,0.3106508875739645,2.8,0.28204382907188297,0.7985401220915122,0.6388067198749791,0.15127767744356813,0.18257944832599032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,700,700,0,-0.5860228239641418,-0.15374317133568466,0.15374317133568466,148,1500,75.0,0.7873563218390804,7.306666666666667,0.9633685397257776,0.3118796144815874,0.048318875905082805,0.12378912183780794,0.18798120715220304,1.0,1.0,1.0,1.0,1.0,1.0,1.0
