method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_open,404.0,10.0,10.0,0.0,-0.2384110686818015,-0.0712763872341448,0.0712763872341448,0.0,1274.0,63.7,1.0,0.1569858712715855,1.150532644680493,0.178190968085362,0.0,0.0018821753410084,0.0027008794131063,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,404.0,10.0,10.0,0.0,-0.1797282765545143,-0.0550947126180255,0.0550947126180255,0.0,1337.0,66.85000000000001,1.0,0.1495886312640239,1.2071685058369106,0.1377367815450638,0.0,0.0019370559083594,0.0027208122821819,,,,,,,
random,404.0,10.0,10.0,0.0,-0.9634709545930452,-0.2249046007522717,0.2249046007522717,1.0,1500.0,75.0,0.9,0.12,0.9618802188929344,0.3129427007907611,0.1662125340599455,0.0016596193235798,0.0027008794131063,0.668825089931488,0.350711315870285,0.8931057453155518,0.2780353128910064,0.0524870455265045,0.9178913831710817,0.4721620380878448
rl_policy,404.0,10.0,10.0,0.0,-0.2394921994937096,-0.0715672597349392,0.0715672597349392,0.0,1274.0,63.7,1.0,0.1569858712715855,1.1495145909277125,0.1789181493373481,0.0,0.0018863954650914,0.0027008794131063,0.5066359043121338,0.5749629735946655,0.560670018196106,0.6535550951957703,0.497530072927475,0.582771897315979,0.5885478854179382
rule_based_pilgrimage,404.0,10.0,10.0,0.0,-0.837243167129343,-0.202755389781622,0.202755389781622,1.0,1500.0,75.0,0.9,0.12,1.0227681960658304,0.2694512885244068,0.1582914572864321,0.0017697867733249,0.0027008794131063,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,505.0,10.0,10.0,0.0,-8.542919914461786,-0.7519331697761382,0.7519331697761382,6.0,1500.0,75.0,0.4,0.0533333333333333,0.2887818509889958,0.7937272492935744,0.7240704500978473,0.002160703530485,0.0027008794131063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,505.0,10.0,10.0,0.0,-0.1609291076686154,-0.0497402131372736,0.0497402131372736,0.0,1188.0,59.400000000000006,1.0,0.1683501683501683,1.225909254019542,0.1243505328431842,0.0,0.0019356302460595,0.0027008794131063,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,505.0,10.0,10.0,0.0,-0.1452056329685334,-0.0451947376645754,0.0451947376645754,0.0,1240.0,62.0,1.0,0.1612903225806451,1.2418184181739855,0.1129868441614386,0.0,0.0014218438377854,0.0027208122821819,,,,,,,
random,505.0,10.0,10.0,0.0,-0.9003104238380677,-0.2140057512648607,0.2140057512648607,1.0,1500.0,75.0,0.9,0.12,0.9971960867892036,0.2877170808648545,0.1648648648648648,0.0016596193235798,0.0027008794131063,0.8506181240081787,0.2925411760807037,0.2230885326862335,0.1977146565914154,0.3778901100158691,0.138534128665924,0.0108283692970871
rl_policy,505.0,10.0,10.0,0.0,-0.1599963220577289,-0.049472278157786,0.049472278157786,0.0,1190.0,59.5,1.0,0.1680672268907563,1.226847026447749,0.123680695394465,0.0,0.0019356302460595,0.0027008794131063,0.5066359043121338,0.5749629735946655,0.560670018196106,0.6535550951957703,0.497530072927475,0.582771897315979,0.5885478854179382
rule_based_pilgrimage,505.0,10.0,10.0,0.0,-0.1437009942819469,-0.0447564967200699,0.0447564967200699,0.0,1241.0,62.05,1.0,0.16116035455278,1.243352261479755,0.1118912418001749,0.0,0.0013890236981689,0.0027008794131063,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,101.0,300.0,294.0,6.0,-6.578600406453105,-0.6751095132191778,0.6751095132191778,174.0,1500.0,75.0,0.4061433447098976,1.586666666666667,0.3282029967406471,0.7655692880423949,0.6148029966703663,0.0615836044075265,0.0791357668040165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101.0,300.0,300.0,0.0,-0.356308670108683,-0.1015889321457654,0.1015889321457654,16.0,1500.0,75.0,0.9464882943143812,3.773333333333333,1.1036470154469122,0.2116807032522054,0.0281944180748053,0.0479939164131598,0.0807562944518803,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,101.0,300.0,300.0,0.0,-0.563613047887854,-0.1489997332251171,0.1489997332251171,52.0,1500.0,75.0,0.8266666666666667,3.306666666666666,0.9902109708868112,0.2927064493665633,0.0531952557974862,0.0511118907272526,0.0816243684654591,,,,,,,
random,101.0,300.0,297.0,3.0,-1.4868566223256798,-0.3036731707684078,0.3036731707684078,76.0,1500.0,75.0,0.7414965986394558,2.9066666666666667,0.8125613181852195,0.4195990584391289,0.2263892456545937,0.0518924226186567,0.0794058547453271,0.5163986086845398,0.570667564868927,0.0284742265939712,0.1715216636657714,0.685276985168457,0.8338968753814697,0.3069662153720855
rl_policy,101.0,300.0,297.0,3.0,-0.5127971770674682,-0.1379867907762725,0.1379867907762725,33.0,1500.0,75.0,0.8877551020408163,3.48,1.0439943762331734,0.2542897312620189,0.0604514971191083,0.0480116853566671,0.0794058547453271,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495408177375793,0.6088516712188721,0.6045918464660645
rule_based_pilgrimage,101.0,300.0,296.0,4.0,-0.7953047879383401,-0.1950582686068278,0.1950582686068278,49.0,1500.0,75.0,0.8333333333333334,3.2666666666666666,0.9552644571672988,0.3176682448805007,0.1133182844243792,0.0497494880316789,0.0794058547453271,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,202.0,300.0,291.0,9.0,-5.914876852714365,-0.6445583854133494,0.6445583854133494,165.0,1500.0,75.0,0.4270833333333333,1.64,0.3475907027519473,0.7517209266057518,0.5731166912850812,0.0607200337530728,0.0777853270974633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202.0,300.0,300.0,0.0,-0.36330425182668,-0.1033037833268711,0.1033037833268711,24.0,1500.0,75.0,0.92,3.68,1.0998197892534496,0.2144144362475359,0.0292300147130946,0.0468673653947983,0.0810263823931909,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,202.0,300.0,300.0,0.0,-0.5723009936470618,-0.1508467158214315,0.1508467158214315,44.0,1500.0,75.0,0.8533333333333334,3.4133333333333336,0.9851575137332698,0.2963160616190929,0.0538671519563239,0.0500414658951836,0.0816243684654591,,,,,,,
random,202.0,300.0,295.0,5.0,-0.6097642242918537,-0.1586959079110339,0.1586959079110339,44.0,1500.0,75.0,0.8493150684931506,3.306666666666666,1.00792488240473,0.2800536554251928,0.0777907429015947,0.0468993494931114,0.0788656788627058,0.2242061793804168,0.2640542984008789,0.9773611426353456,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
rl_policy,202.0,300.0,299.0,1.0,-0.5346716791529069,-0.1427721561196026,0.1427721561196026,34.0,1500.0,75.0,0.8839590443686007,3.453333333333333,1.0382446676576371,0.2583966659588306,0.0656891495601173,0.0467429827902474,0.0791357668040165,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495408177375793,0.6088516712188721,0.6045918464660645
rule_based_pilgrimage,202.0,300.0,296.0,4.0,-0.7390939682109015,-0.1844547565620725,0.1844547565620725,44.0,1500.0,75.0,0.8513513513513513,3.36,0.9691073502538864,0.3077804641043667,0.102237618200543,0.0484416937895432,0.0799460306279484,0.45,0.45,0.45,0.45,0.45,0.45,0.45
all_closed,303.0,300.0,292.0,8.0,-6.162483533185296,-0.6562855943354979,0.6562855943354979,168.0,1500.0,75.0,0.4166666666666667,1.6,0.339189489249686,0.7577217933930813,0.5886614616304424,0.0607022648095655,0.0777853270974633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
