method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
random,202,5,5,0,-0.2413537057696764,-0.07206749411638609,0.07206749411638609,0,1197,59.85,1.0,0.0835421888053467,1.1477637705926487,0.18016873529096522,0.0,0.0008372726180629735,0.0013504397065531833,0.22420617938041687,0.2640542984008789,0.9773611426353455,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
rl_policy,202,5,5,0,-0.241342615082627,-0.07206451598680008,0.07206451598680008,0,1197,59.85,1.0,0.0835421888053467,1.1477741940461996,0.1801612899670002,0.0,0.0008372726180629736,0.0013504397065531833,0.5066573619842529,0.575869619846344,0.5608314275741577,0.6535440683364868,0.49756234884262085,0.5828816294670105,0.5890907049179077
all_closed,202,10,10,0,-7.566851097619137,-0.7159667439687595,0.7159667439687595,5,1500,75.0,0.5,0.06666666666666667,0.32639794950740003,0.7668586074947142,0.6820388349514563,0.0018159860264438847,0.0027008794131063666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,10,10,0,-0.24490553101832835,-0.0730198827791996,0.0730198827791996,0,1227,61.35,1.0,0.16299918500407498,1.1444304102728013,0.182549706947999,0.0,0.00153340250550555,0.002700879413106367,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,202,10,10,0,-0.24582447616416192,-0.07326584686332481,0.07326584686332481,0,1231,61.550000000000004,1.0,0.16246953696181965,1.143569535978363,0.183164617158312,0.0,0.0015377587626234637,0.0027008794131063666,0.22420617938041687,0.2640542984008789,0.9773611426353455,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
rl_policy,202,10,10,0,-0.24560505257459075,-0.07320713262246899,0.07320713262246899,0,1228,61.400000000000006,1.0,0.16286644951140064,1.1437750358213585,0.18301783155617246,0.0,0.00153340250550555,0.0027008794131063666,0.5066359043121338,0.5749629735946655,0.560670018196106,0.6535550951957703,0.497530072927475,0.582771897315979,0.5885478854179382
all_closed,202,1000,976,24,-7.483758425568832,-0.7127178540591279,0.7127178540591279,705,1500,75.0,0.2640918580375783,3.3733333333333335,0.2612632719733374,0.8133833771619019,0.6456075053239453,0.21918347195098448,0.25874424777558985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,202,1000,1000,0,-0.7757828180617539,-0.19141378332163567,0.19141378332163567,317,1500,75.0,0.6788247213779128,8.933333333333334,0.8539198720122098,0.390057234276993,0.0589848160180641,0.18921792562030962,0.2665767980735983,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,202,1000,989,11,-1.2215404519651667,-0.2660669508434623,0.2660669508434623,336,1500,75.0,0.6539649845520082,8.466666666666667,0.7551559023599175,0.4606029268857732,0.1363763001485884,0.18748012294529778,0.2622553910126281,0.22420617938041687,0.2640542984008789,0.9773611426353455,0.9929373860359192,0.9949920773506165,0.5714755654335022,0.599606990814209
rl_policy,202,1000,997,3,-0.9512878346805773,-0.2228298608767831,0.2228298608767831,351,1500,75.0,0.6411042944785276,8.36,0.7933573002367117,0.43331621411663446,0.08250562538354887,0.19101969649194772,0.26414600660180254,0.5436841249465942,0.5968451499938965,0.5928694009780884,0.6426052451133728,0.5292137861251831,0.5714855194091797,0.5240288376808167
all_closed,202,1500,987,24,-8.056867991713464,-0.7345077880030959,0.7345077880030959,688,1500,75.0,0.2899896800825593,3.7466666666666666,0.24893203656177376,0.8221914024558759,0.676052045034576,0.22087152158417594,0.26171521513000684,0.0,0.0,0.0,0.0,0.0,0.0,0.0
