method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
rl_policy,202,900,897,3,-0.8440459090027712,-0.2039873404156061,0.2039873404156061,281,1500,75.0,0.681766704416761,8.026666666666667,0.8357950096983857,0.403003564501153,0.0713098576919081,0.1681404048319756,0.2384876521772921,0.5447341799736023,0.6156653761863708,0.6000241041183472,0.6421566009521484,0.5296857357025146,0.577825665473938,0.5345863103866577
all_closed,303,300,292,8,-6.162483533185296,-0.6562855943354979,0.6562855943354979,168,1500,75.0,0.4166666666666667,1.6,0.339189489249686,0.7577217933930813,0.5886614616304424,0.0607022648095655,0.0777853270974633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,300,300,0,-0.3633623600244751,-0.1033179907104829,0.1033179907104829,15,1500,75.0,0.95,3.8,1.103901890840884,0.2114986493993685,0.0311975515845591,0.0465901698760848,0.0810263823931909,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,303,300,294,6,-0.90534767692289,-0.2148881664990848,0.2148881664990848,56,1500,75.0,0.8088737201365188,3.16,0.9042051703309376,0.3541391640493301,0.1220541681322546,0.0507623178115938,0.0791357668040165,0.7501484155654907,0.2810350656509399,0.5507943034172058,0.81089186668396,0.6211731433868408,0.4352830350399017,0.1870327889919281
rl_policy,303,300,295,5,-0.5425535089447171,-0.1444797219830645,0.1444797219830645,29,1500,75.0,0.9003436426116839,3.493333333333333,1.0386037173420186,0.2581402018985581,0.0687060687060687,0.0461672690206115,0.0785955909213952,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495408177375793,0.6088516712188721,0.6045918464660645
all_closed,303,500,489,11,-8.51804720863617,-0.7510632342063249,0.7510632342063249,355,1500,75.0,0.2619542619542619,1.68,0.2440311860604378,0.8256920099568301,0.7013107170393215,0.1091937116409292,0.1299122997704161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,500,500,0,-0.4841582980038834,-0.1316159362901021,0.1316159362901021,61,1500,75.0,0.8772635814889336,5.8133333333333335,1.0213867942463868,0.2704380041097236,0.039067891077021,0.0845552945737365,0.1342337068313863,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,303,500,493,7,-1.215540070738089,-0.2651653993459277,0.2651653993459277,160,1500,75.0,0.6721311475409836,4.373333333333333,0.7746496602534377,0.4466788141046873,0.1441564561734213,0.0926792555452643,0.1318029153595906,0.7501484155654907,0.2810350656509399,0.5507943034172058,0.81089186668396,0.6211731433868408,0.4352830350399017,0.1870327889919281
rl_policy,303,500,497,3,-0.5541969267444669,-0.1469863221345421,0.1469863221345421,74,1500,75.0,0.8489795918367347,5.546666666666667,0.992264370700752,0.2912397352137484,0.050817380081738,0.0834394049214794,0.1323430912422119,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388292908668518,0.5335893630981445,0.6032052040100098,0.5847250819206238
all_closed,303,700,683,17,-7.240771133507152,-0.7030313079020484,0.7030313079020484,467,1500,75.0,0.3060921248142645,2.7466666666666666,0.2791216277187232,0.8006274087723405,0.637967240655187,0.1507446091383497,0.1817691845020584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,700,700,0,-0.5919879830258883,-0.1549945130143765,0.1549945130143765,153,1500,75.0,0.7801724137931034,7.24,0.9606230842994944,0.3138406540717897,0.0490970856427677,0.124023671892104,0.187981207152203,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,303,700,689,11,-1.373551278268319,-0.2881290877568748,0.2881290877568748,264,1500,75.0,0.6134699853587116,5.586666666666667,0.7299787894059062,0.4785865789957813,0.1611574269309371,0.1337255150470782,0.1844700639151647,0.7501484155654907,0.2810350656509399,0.5507943034172058,0.81089186668396,0.6211731433868408,0.4352830350399017,0.1870327889919281
rl_policy,303,700,697,3,-0.7111385426373755,-0.1790529877887718,0.1790529877887718,171,1500,75.0,0.751453488372093,6.8933333333333335,0.9109004942890708,0.3493567897935207,0.0655171197856059,0.1251395615443611,0.1858205036217179,0.5464498996734619,0.6522324085235596,0.6140705943107605,0.6403273344039917,0.5313119292259216,0.590336799621582,0.5570318698883057
all_closed,303,900,880,20,-7.070447539130498,-0.696069645961831,0.696069645961831,607,1500,75.0,0.2998846597462514,3.466666666666667,0.2766590466288912,0.8023863952650777,0.6251918130929996,0.195124322442129,0.2341662451163219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,303,900,900,0,-0.7045696791679112,-0.1777708970985236,0.1777708970985236,256,1500,75.0,0.7136465324384788,8.506666666666666,0.8880598101316699,0.3656715641916643,0.0525037857030964,0.1677708108070242,0.2414586195317091,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,303,900,887,13,-1.6370492554520273,-0.3232201952635246,0.3232201952635246,381,1500,75.0,0.5660592255125285,6.626666666666667,0.6700305812899964,0.5214067276500025,0.191095840339206,0.1769360318680786,0.2371372124707389,0.7501484155654907,0.2810350656509399,0.5507943034172058,0.81089186668396,0.6211731433868408,0.4352830350399017,0.1870327889919281
rl_policy,303,900,896,4,-0.8545882345961793,-0.2058875651533852,0.2058875651533852,285,1500,75.0,0.6768707482993197,7.96,0.8304026820314638,0.4068552271203829,0.0719091238420535,0.168588182208359,0.2382175642359814,0.5447341799736023,0.6156653761863708,0.6000241041183472,0.6421566009521484,0.5296857357025146,0.577825665473938,0.5345863103866577
all_closed,404,300,293,7,-6.432271678139431,-0.66861051867634,0.66861051867634,168,1500,75.0,0.4166666666666667,1.6,0.3322520380682493,0.7626771156655362,0.6058994540168758,0.0603184556298083,0.0777853270974633,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,404,300,300,0,-0.3361960742565857,-0.0966089421713478,0.0966089421713478,19,1500,75.0,0.9362416107382552,3.72,1.1143892182267772,0.2040077012665877,0.0250097694411879,0.0469064570705143,0.0804862065105697,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,404,300,298,2,-1.054867694475138,-0.2400704878750102,0.2400704878750102,69,1500,75.0,0.7653061224489796,3.0,0.8883471241154569,0.3654663399175307,0.1564732531799965,0.0511887724557685,0.0794058547453271,0.668825089931488,0.350711315870285,0.8931057453155518,0.2780353128910064,0.0524870455265045,0.9178913831710817,0.4721620380878448
rl_policy,404,300,297,3,-0.5019947666425668,-0.1355980230255322,0.1355980230255322,35,1500,75.0,0.8805460750853242,3.44,1.0472657339128433,0.2519530472051119,0.0580280069058123,0.047418202643524,0.0791357668040165,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495408177375793,0.6088516712188721,0.6045918464660645
all_closed,404,500,490,10,-6.299316818072796,-0.6625935857364931,0.6625935857364931,326,1500,75.0,0.3250517598343685,2.0933333333333333,0.3315339007282776,0.7631900709083731,0.5955292622885731,0.1065816769453592,0.1304524756530374,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,404,500,500,0,-0.4472550083170101,-0.1232228881819598,0.1232228881819598,61,1500,75.0,0.8772635814889336,5.8133333333333335,1.0420489402063282,0.2556793284240513,0.0349185946872322,0.0839227201848774,0.1342337068313863,1.0,1.0,1.0,1.0,1.0,1.0,1.0
random,404,500,497,3,-1.3519410056805614,-0.2850803157009991,0.2850803157009991,158,1500,75.0,0.6775510204081633,4.426666666666667,0.7944220702680868,0.4325556640942237,0.1867634167721827,0.0902697868056773,0.1323430912422119,0.668825089931488,0.350711315870285,0.8931057453155518,0.2780353128910064,0.0524870455265045,0.9178913831710817,0.4721620380878448
rl_policy,404,500,498,2,-0.529931996490727,-0.1417410958928238,0.1417410958928238,76,1500,75.0,0.845841784989858,5.56,1.006700234973389,0.2809284035904364,0.0489495574277487,0.0840790868877414,0.1331533550661438,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388292908668518,0.5335893630981445,0.6032052040100098,0.5847250819206238
all_closed,404,700,684,16,-8.104758800861685,-0.7362657406614257,0.7362657406614257,514,1500,75.0,0.2385185185185185,2.1466666666666665,0.2514508394995109,0.8203922575003493,0.6801813961021432,0.1555528852514194,0.1823093603846796,0.0,0.0,0.0,0.0,0.0,0.0,0.0
