method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
gt_original,202,10,10,0,-0.1659920026591737,-0.05119074304063638,0.05119074304063638,0,1350,67.5,1.0,0.14814814814814814,1.2208323993577725,0.12797685760159094,0.0,0.0017765303724835229,0.002720812282181972,,,,,,,
rule_based_pilgrimage,202,10,10,0,-0.7800078758870896,-0.19220592964995778,0.19220592964995778,1,1500,75.0,0.9,0.12,1.0490062657237549,0.25070981019731786,0.1532033426183844,0.001631189013968187,0.002700879413106366,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,202,1000,1000,0,-1.6159532443119287,-0.3205428534885942,0.3205428534885942,425,1500,75.0,0.5724346076458753,7.586666666666667,0.6674903099927175,0.5232212071480589,0.18542395104895104,0.19930665970215097,0.270448740848888,,,,,,,
rule_based_pilgrimage,202,1000,988,12,-0.7349075822856441,-0.18365138176198287,0.18365138176198287,298,1500,75.0,0.6956077630234934,9.08,0.8599937344502504,0.385718761106964,0.048939795531995456,0.18484321172881762,0.2644160945431132,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,202,1500,1040,0,-1.6821786944757688,-0.3288764699871004,0.3288764699871004,453,1500,75.0,0.5618955512572534,7.746666666666667,0.656965699437982,0.5307387861157271,0.19430159256801594,0.20957056603506638,0.2813319899776159,,,,,,,
rule_based_pilgrimage,202,1500,1028,12,-0.7562452291797299,-0.18772604587164554,0.18772604587164554,331,1500,75.0,0.6751717369970559,9.173333333333334,0.8433985127072863,0.3975724909233669,0.04782841583716466,0.19531978082070917,0.27521961219553864,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,303,5,5,0,-0.24493676441705747,-0.07302824566461559,0.07302824566461559,0,1166,58.300000000000004,1.0,0.08576329331046312,1.1444011401738454,0.18257061416153897,0.0,0.0009822593493301016,0.0013604061410909863,,,,,,,
rule_based_pilgrimage,303,5,5,0,-1.8571834927997637,-0.34994544895915214,0.34994544895915214,1,1500,75.0,0.8,0.05333333333333334,0.7901080557147907,0.4356371030608638,0.292817679558011,0.0008209251900362771,0.0013504397065531833,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,303,10,10,0,-0.2131788929668681,-0.06441469962088986,0.06441469962088986,0,1340,67.0,1.0,0.14925373134328357,1.1745485513268854,0.16103674905222465,0.0,0.00201421327158546,0.002720812282181972,,,,,,,
rule_based_pilgrimage,303,10,10,0,-1.4486280862280956,-0.2985093009709777,0.2985093009709777,2,1500,75.0,0.8,0.10666666666666667,0.8802174466015779,0.37127325242744436,0.25,0.0018764004343686334,0.0027008794131063666,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,303,1000,1000,0,-1.6238047536897864,-0.3215418201402754,0.3215418201402754,430,1500,75.0,0.5674044265593562,7.52,0.6653370705429618,0.5247592353264559,0.1860635433494884,0.20166947036825636,0.270448740848888,,,,,,,
rule_based_pilgrimage,303,1000,988,12,-0.7533593289287794,-0.1871778547856115,0.1871778547856115,307,1500,75.0,0.686414708886619,8.96,0.8501817422909242,0.3927273269350541,0.05014487335264978,0.18676225762760373,0.2644160945431132,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,303,1500,1040,0,-1.7120976386350977,-0.3325741239588822,0.3325741239588822,461,1500,75.0,0.5541586073500967,7.64,0.653325249981273,0.5333391071562336,0.19873080182731465,0.21011830850766355,0.2813319899776159,,,,,,,
rule_based_pilgrimage,303,1500,1028,12,-0.7555790424927784,-0.18759958041411184,0.18759958041411184,329,1500,75.0,0.677134445534838,9.2,0.8416495461166399,0.3988217527738286,0.04678479884096735,0.19554011572019941,0.27521961219553864,0.8,0.8,0.8,0.8,0.8,0.8,0.8
gt_original,404,5,5,0,-0.14571302163585975,-0.04534238983738477,0.04534238983738477,0,1086,54.300000000000004,1.0,0.09208103130755063,1.2413016355691533,0.11335597459346192,0.0,0.0010586433243398945,0.0013604061410909863,,,,,,,
rule_based_pilgrimage,404,5,5,0,-1.9841601674168436,-0.36443945210294354,0.36443945210294354,1,1500,75.0,0.8,0.05333333333333334,0.8395970527748328,0.400287819446548,0.34054054054054056,0.0008351403448421004,0.0013504397065531835,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,404,10,10,0,-0.1797282765545143,-0.055094712618025544,0.055094712618025544,0,1337,66.85000000000001,1.0,0.1495886312640239,1.2071685058369106,0.13773678154506386,0.0,0.001937055908359404,0.002720812282181972,,,,,,,
rule_based_pilgrimage,404,10,10,0,-0.837243167129343,-0.20275538978162203,0.20275538978162203,1,1500,75.0,0.9,0.12,1.0227681960658304,0.2694512885244068,0.15829145728643215,0.001769786773324961,0.0027008794131063666,0.45,0.45,0.45,0.45,0.45,0.45,0.45
gt_original,404,1000,1000,0,-1.6058075901304756,-0.31924754752188567,0.31924754752188567,425,1500,75.0,0.5732931726907631,7.613333333333333,0.6697983760609434,0.5215725885278976,0.18436418685121106,0.2011002477986946,0.2709929033053244,,,,,,,
rule_based_pilgrimage,404,1000,988,12,-0.7393545844432241,-0.18450470531151553,0.18450470531151553,298,1500,75.0,0.6962283384301733,9.106666666666667,0.8548002363250411,0.3894284026249706,0.04788890710254549,0.18650993862980036,0.2649562704257345,0.8,0.8,0.8,0.8,0.8,0.8,0.8
