method,seed,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,classic_mean_density,classic_max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
gt_original,101,500,20,0,-0.06950281366854881,-0.06950281366854881,0.06950281366854881,4,1500,75.0,0.8,0.21333333333333335,1.156740152160079,0.173757034171372,0.0,0.003461875627460484,0.005441624564363944,0.003461875627460484,0.0054416245643639435,,,,,,,
rl_policy,101,500,20,0,-0.2972763580370283,-0.2972763580370283,0.2972763580370283,6,1500,75.0,0.7,0.18666666666666668,0.8692414847344786,0.37911322518965807,0.24271844660194175,0.0036390796302906833,0.005401758826212732,0.0036390796302906833,0.0054017588262127315,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388293504714966,0.5335893630981445,0.6032052040100098,0.5847250819206238
all_closed,101,700,20,0,-0.791272491918844,-0.791272491918844,0.791272491918844,14,1500,75.0,0.3,0.08,0.23741194992583725,0.8304200357672591,0.7651741293532338,0.004282315385254172,0.005401758826212732,0.0042823153852541715,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,700,19,1,-0.06292629096882196,-0.06292629096882196,0.06292629096882196,2,1500,75.0,0.8947368421052632,0.22666666666666666,1.179757981609123,0.1573157274220549,0.0,0.003166425732997068,0.005131670884902096,0.003166425732997068,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,101,700,20,0,-0.06950281366854881,-0.06950281366854881,0.06950281366854881,4,1500,75.0,0.8,0.21333333333333335,1.156740152160079,0.173757034171372,0.0,0.003461875627460484,0.005441624564363944,0.003461875627460484,0.0054416245643639435,,,,,,,
rl_policy,101,700,20,0,-0.2972742625989228,-0.2972742625989228,0.2972742625989228,6,1500,75.0,0.7,0.18666666666666668,0.8692488187678479,0.3791079865943944,0.24271844660194175,0.003639079630290683,0.005401758826212732,0.0036390796302906833,0.0054017588262127315,0.5464498996734619,0.6522324085235596,0.6140705943107605,0.6403273344039917,0.5313119292259216,0.590336799621582,0.5570318698883057
all_closed,101,900,20,0,-0.791272491918844,-0.791272491918844,0.791272491918844,14,1500,75.0,0.3,0.08,0.23741194992583725,0.8304200357672591,0.7651741293532338,0.004282315385254172,0.005401758826212732,0.0042823153852541715,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,101,900,19,1,-0.06292629096882196,-0.06292629096882196,0.06292629096882196,2,1500,75.0,0.8947368421052632,0.22666666666666666,1.179757981609123,0.1573157274220549,0.0,0.003166425732997068,0.005131670884902096,0.003166425732997068,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,101,900,20,0,-0.06950281366854881,-0.06950281366854881,0.06950281366854881,4,1500,75.0,0.8,0.21333333333333335,1.156740152160079,0.173757034171372,0.0,0.003461875627460484,0.005441624564363944,0.003461875627460484,0.0054416245643639435,,,,,,,
rl_policy,101,900,20,0,-0.2972728575802776,-0.2972728575802776,0.2972728575802776,6,1500,75.0,0.7,0.18666666666666668,0.869253736333106,0.37910447404778136,0.24271844660194175,0.003639079630290683,0.005401758826212733,0.0036390796302906833,0.0054017588262127315,0.5447341799736023,0.6156653761863708,0.6000241041183472,0.6421566009521484,0.5296857357025146,0.577825665473938,0.5345863103866577
