method,num_agents_requested,added_agents,skipped_agents,reward,raw_reward,raw_cost,remaining_agents,iterations,elapsed_time,evacuation_ratio,throughput_agents_per_second,mean_speed,speed_loss,stopped_ratio,mean_density,max_density,classic_mean_density,classic_max_density,pair_1,pair_2,pair_3,pair_4,pair_5,pair_6,pair_7
all_closed,5.0,5.0,0.0,-0.756715792763187,-0.756715792763187,0.756715792763187,3.6,1500.0,75.0,0.27999999999999997,0.018666666666666668,0.2755208422906003,0.803199398363857,0.7257267223627405,0.0011301048070629263,0.0013504397065531837,0.0011301048070629267,0.0013504397065531829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_closed,300.0,20.0,0.0,-0.782824811768437,-0.782824811768437,0.782824811768437,13.8,1500.0,75.0,0.30999999999999994,0.08266666666666667,0.24307457020260395,0.82637530699814,0.7537911482819684,0.0042773400810721335,0.005401758826212732,0.0042773400810721335,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_closed,500.0,20.0,0.0,-0.782824811768437,-0.782824811768437,0.782824811768437,13.8,1500.0,75.0,0.30999999999999994,0.08266666666666667,0.24307457020260395,0.82637530699814,0.7537911482819684,0.0042773400810721335,0.005401758826212732,0.0042773400810721335,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_closed,700.0,20.0,0.0,-0.782824811768437,-0.782824811768437,0.782824811768437,13.8,1500.0,75.0,0.30999999999999994,0.08266666666666667,0.24307457020260395,0.82637530699814,0.7537911482819684,0.0042773400810721335,0.005401758826212732,0.0042773400810721335,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_closed,900.0,20.0,0.0,-0.782824811768437,-0.782824811768437,0.782824811768437,13.8,1500.0,75.0,0.30999999999999994,0.08266666666666667,0.24307457020260395,0.82637530699814,0.7537911482819684,0.0042773400810721335,0.005401758826212732,0.0042773400810721335,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_closed,1000.0,20.0,0.0,-0.782824811768437,-0.782824811768437,0.782824811768437,13.8,1500.0,75.0,0.30999999999999994,0.08266666666666667,0.24307457020260395,0.82637530699814,0.7537911482819684,0.0042773400810721335,0.005401758826212732,0.0042773400810721335,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_closed,1500.0,20.0,0.0,-0.782824811768437,-0.782824811768437,0.782824811768437,13.8,1500.0,75.0,0.30999999999999994,0.08266666666666667,0.24307457020260395,0.82637530699814,0.7537911482819684,0.0042773400810721335,0.005401758826212732,0.0042773400810721335,0.0054017588262127315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_open,5.0,4.8,0.2,-0.06274821825569234,-0.06274821825569234,0.06274821825569234,0.4,1455.2,72.76,0.9099999999999999,0.06080534703238002,1.1803812361050767,0.1568705456392308,0.0,0.0009308454138945369,0.0012964221182910566,0.0009308454138945374,0.0012964221182910555,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all_open,300.0,19.0,1.0,-0.06654031064462725,-0.06654031064462725,0.06654031064462725,2.0,1497.2,74.86,0.8947368421052632,0.22714401076716015,1.1671089127438046,0.1663507766115681,0.0,0.0031812474010746057,0.005131670884902096,0.0031812474010746066,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all_open,500.0,19.0,1.0,-0.06654031064462725,-0.06654031064462725,0.06654031064462725,2.0,1497.2,74.86,0.8947368421052632,0.22714401076716015,1.1671089127438046,0.1663507766115681,0.0,0.0031812474010746057,0.005131670884902096,0.0031812474010746066,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all_open,700.0,19.0,1.0,-0.06654031064462725,-0.06654031064462725,0.06654031064462725,2.0,1497.2,74.86,0.8947368421052632,0.22714401076716015,1.1671089127438046,0.1663507766115681,0.0,0.0031812474010746057,0.005131670884902096,0.0031812474010746066,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all_open,900.0,19.0,1.0,-0.06654031064462725,-0.06654031064462725,0.06654031064462725,2.0,1497.2,74.86,0.8947368421052632,0.22714401076716015,1.1671089127438046,0.1663507766115681,0.0,0.0031812474010746057,0.005131670884902096,0.0031812474010746066,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all_open,1000.0,19.0,1.0,-0.06654031064462725,-0.06654031064462725,0.06654031064462725,2.0,1497.2,74.86,0.8947368421052632,0.22714401076716015,1.1671089127438046,0.1663507766115681,0.0,0.0031812474010746057,0.005131670884902096,0.0031812474010746066,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
all_open,1500.0,19.0,1.0,-0.06654031064462725,-0.06654031064462725,0.06654031064462725,2.0,1497.2,74.86,0.8947368421052632,0.22714401076716015,1.1671089127438046,0.1663507766115681,0.0,0.0031812474010746057,0.005131670884902096,0.0031812474010746066,0.005131670884902095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gt_original,5.0,5.0,0.0,-0.06286207014224801,-0.06286207014224801,0.06286207014224801,0.4,1459.6,72.97999999999999,0.9199999999999999,0.06325749179988341,1.179982754502132,0.15715517535562,0.0,0.0009830777645336067,0.0013604061410909863,0.0009830777645336065,0.0013604061410909859,,,,,,,
gt_original,300.0,20.0,0.0,-0.06800363811444994,-0.06800363811444994,0.06800363811444994,3.0,1500.0,75.0,0.85,0.22666666666666666,1.161987266599425,0.17000909528612482,0.0,0.0034375315175672757,0.005441624564363944,0.0034375315175672765,0.0054416245643639435,,,,,,,
gt_original,500.0,20.0,0.0,-0.06800363811444994,-0.06800363811444994,0.06800363811444994,3.0,1500.0,75.0,0.85,0.22666666666666666,1.161987266599425,0.17000909528612482,0.0,0.0034375315175672757,0.005441624564363944,0.0034375315175672765,0.0054416245643639435,,,,,,,
gt_original,700.0,20.0,0.0,-0.06800363811444994,-0.06800363811444994,0.06800363811444994,3.0,1500.0,75.0,0.85,0.22666666666666666,1.161987266599425,0.17000909528612482,0.0,0.0034375315175672757,0.005441624564363944,0.0034375315175672765,0.0054416245643639435,,,,,,,
gt_original,900.0,20.0,0.0,-0.06800363811444994,-0.06800363811444994,0.06800363811444994,3.0,1500.0,75.0,0.85,0.22666666666666666,1.161987266599425,0.17000909528612482,0.0,0.0034375315175672757,0.005441624564363944,0.0034375315175672765,0.0054416245643639435,,,,,,,
gt_original,1000.0,20.0,0.0,-0.06800363811444994,-0.06800363811444994,0.06800363811444994,3.0,1500.0,75.0,0.85,0.22666666666666666,1.161987266599425,0.17000909528612482,0.0,0.0034375315175672757,0.005441624564363944,0.0034375315175672765,0.0054416245643639435,,,,,,,
gt_original,1500.0,20.0,0.0,-0.06800363811444994,-0.06800363811444994,0.06800363811444994,3.0,1500.0,75.0,0.85,0.22666666666666666,1.161987266599425,0.17000909528612482,0.0,0.0034375315175672757,0.005441624564363944,0.0034375315175672765,0.0054416245643639435,,,,,,,
rl_policy,5.0,5.0,0.0,-0.3858869537679756,-0.3858869537679756,0.3858869537679756,2.0,1500.0,75.0,0.6,0.04,0.7556931582829354,0.4602191726550461,0.3363321411765954,0.0009865317435241148,0.0013504397065531837,0.0009865317435241148,0.0013504397065531829,0.5066574215888977,0.575869619846344,0.5608314275741577,0.653544008731842,0.49756234884262085,0.5828816294670105,0.5890907049179077
rl_policy,300.0,20.0,0.0,-0.25082485390702025,-0.25082485390702025,0.25082485390702025,5.2,1500.0,75.0,0.74,0.19733333333333333,0.9253874627269262,0.33900895519505275,0.19203545304833186,0.0035196723299217693,0.005401758826212732,0.0035196723299217693,0.0054017588262127315,0.5252275466918945,0.555452287197113,0.5969022512435913,0.6850669384002686,0.5495407581329346,0.6088516712188721,0.6045918464660645
rl_policy,500.0,20.0,0.0,-0.32090983070222834,-0.32090983070222834,0.32090983070222834,6.2,1500.0,75.0,0.6900000000000001,0.184,0.8356922842988521,0.4030769397865342,0.26613175797935773,0.0036376581148101,0.005401758826212732,0.0036376581148101,0.0054017588262127315,0.5488573312759399,0.692350447177887,0.6281717419624329,0.6388293504714966,0.5335893630981445,0.6032052040100098,0.5847250819206238
rl_policy,700.0,20.0,0.0,-0.3207562021060995,-0.3207562021060995,0.3207562021060995,6.2,1500.0,75.0,0.6900000000000001,0.184,0.8357287910678803,0.40305086352294256,0.2658930944948708,0.0036376581148101,0.005401758826212732,0.0036376581148101,0.0054017588262127315,0.5464498996734619,0.6522324085235596,0.6140705943107605,0.6403273344039917,0.5313119292259216,0.590336799621582,0.5570318698883057
rl_policy,900.0,20.0,0.0,-0.32074390196460467,-0.32074390196460467,0.32074390196460467,6.2,1500.0,75.0,0.6900000000000001,0.184,0.8357718415631122,0.40302011316920544,0.2658930944948708,0.0036376581148101,0.005401758826212732,0.0036376581148101,0.0054017588262127315,0.5447341799736023,0.6156653761863708,0.6000241041183472,0.6421566009521484,0.5296857357025146,0.577825665473938,0.5345863103866577
rl_policy,1000.0,20.0,0.0,-0.3209094189075175,-0.3209094189075175,0.3209094189075175,6.2,1500.0,75.0,0.6900000000000001,0.184,0.8356937255803398,0.4030759102997572,0.26613175797935773,0.0036376581148101,0.005401758826212732,0.0036376581148101,0.0054017588262127315,0.5436841249465942,0.5968451499938965,0.5928694009780884,0.6426052451133728,0.5292137861251831,0.5714855194091797,0.5240288376808167
rl_policy,1500.0,20.0,0.0,-0.3050502017922604,-0.3050502017922604,0.3050502017922604,6.0,1500.0,75.0,0.7,0.18666666666666668,0.8550074118455846,0.3892804201102966,0.2488967229135695,0.003639079630290682,0.005401758826212732,0.003639079630290682,0.0054017588262127315,0.5346928834915161,0.5194154977798462,0.5658186078071594,0.6434570550918579,0.5229800939559937,0.5486160516738892,0.48126286268234253
